text,sentiment,confidence,source
Dr. Hood.,POSITIVE,0.9401,Harrison
Brother  Geo.,POSITIVE,0.998,Harrison
"W. Prince delivered the welcoming address on behalf[252]of the local chapters, to which the distinguished Phi brother,  President Harrison, arising amid great applause, responded.",POSITIVE,0.9932,Harrison
"After a few pleasant remarks regarding his  recollections of college life and his pleasure at meeting  again with the members of the Phi Delta Theta, he said: My college associations were broken early in life, partly by necessity  and partly by choice; by necessity so far as the compulsion  to work for a living was upon me, and by choice in that I added to  my responsibility at an early date, so that it has not been my  pleasure often to meet with or sit about the banquet board with  members of this society.",POSITIVE,0.9724,Harrison
It gives me pleasure to meet with you  to-night.,POSITIVE,0.9989,Harrison
I feel the greatest sympathy with these young men who  are now disciplining their minds for the work of life.,POSITIVE,0.9801,Harrison
"I would not  have them make these days too serious, and yet they are very full  of portent and promise.",POSITIVE,0.9773,Harrison
"It is not inconsistent, I think, with the  joyfulness and gladness which pertains to youth that they shall have  some sense of the value of these golden days.",POSITIVE,0.9918,Harrison
They are days that  are to affect the whole future.,POSITIVE,0.668,Harrison
"If I were to select a watchword  that I would have every young man write above his door and on  his heart, it would be that good word ""Fidelity.""",POSITIVE,0.9167,Harrison
I know of no  better.,POSITIVE,0.993,Harrison
"The man who meets every obligation to the family, to  society, to the State, to his country, and his God, to the very best  measure of his strength and ability, cannot fail of that assurance  and quietness that comes of a good conscience, and will seldom fail  of the approval of his fellow-men, and will never fail of the reward  which is promised to faithfulness.",POSITIVE,0.9996,Harrison
"Unfaithfulness and lack of  fidelity to duty, to work, and to obligation is the open door to all  that is disgraceful and degrading.",NEGATIVE,0.9982,Harrison
"I want to thank you again, gentlemen, for this pleasant greeting,  and to ask you, after the rather exhaustive duties of this day, to  excuse me from further address and accept the best wishes of a  brother in the Phi Delta Theta organization.",POSITIVE,0.7186,Harrison
[Cheers.],POSITIVE,0.9994,Harrison
Later in the evening the President and party attended a  banquet given by the citizens in honor of the First Brigade.,POSITIVE,0.9916,Harrison
"It was a brilliant affair, conducted by the ladies of the  city, active among whom were Mrs. Geo.",POSITIVE,0.9973,Harrison
"Lescher, Miss  Tillie Weeks, Miss Maude Stewart, Miss Winnie Hoover,  and Mrs. Whiffen.",POSITIVE,0.9916,Harrison
"Mrs. George Gale had charge of the[253]table of honor, assisted by Mrs. Otto M. Smith and Miss  Louise Tryon.",POSITIVE,0.996,Harrison
Gen. Philip S. Post was Master of Ceremonies  and presented General Harrison.,POSITIVE,0.9909,Harrison
The President prologued his parting words with an incident  of a visit he made to a small town down the Potomac.,POSITIVE,0.6193,Harrison
"Although he was introduced as President all over  the town, no special attention was paid to him, and when  the local paper came out with a column and a half report  of the visit of the Chief Executive, the good people of the  town were astonished, but explained their lack of attention  by saying they thought Mr. Harrison was president of some  fishing club.",NEGATIVE,0.9993,Harrison
"Aside from jokes, said the President: One serious word in leaving.",NEGATIVE,0.8019,Harrison
This day in Galesburg I shall long  remember.,POSITIVE,0.9801,Harrison
"The enthusiasm and the cordiality of the citizens, the  delicacy and kindness of their attention, have impressed me deeply.",POSITIVE,0.9994,Harrison
"I shall ever gratefully recollect Galesburg as a spot of especial  interest, as the place of the meeting of the old brigade.",POSITIVE,0.9927,Harrison
"Comrades,  I hope to meet you again when my time is more my own, and on  several occasions like this to speak to you more familiarly, and to  recall this time.",POSITIVE,0.9959,Harrison
"I have tried not to be stinted in my intercourse  with you, for I have wanted you to feel me warm and sincere.",POSITIVE,0.991,Harrison
"I  have expressed myself, but not as freely as I would if by ourselves,  or if I were but a private citizen or member of the brigade.",NEGATIVE,0.9458,Harrison
"But  I would say to you and all your families, to the wives that sit  here, to the wives and children that are at home, to those who  have gone out from your roof-tree to prepare homes, to your grand-children—and  I hope all of you have them—to one and all, I  extend the hearty sympathy and best wishes of the ""old-timer""  you served so faithfully.",POSITIVE,0.9939,Harrison
"ThePresident's party left Galesburg the night of the  8th, arriving at Burlington at 10 o'clock, where about  8,000 people greeted them.",POSITIVE,0.982,Harrison
"The President was escorted to  the Commercial Club rooms, where Mayor Duncan, on  behalf of the city of Burlington, and P. M. Crapo, president  of the club, made addresses of welcome.",POSITIVE,0.9578,Harrison
"A reception of[254]one hour's duration followed, during which President  Harrison shook hands with 3,000 callers.",NEGATIVE,0.571,Harrison
Ottumwa was  reached at 8 o'clock Thursday morning.,POSITIVE,0.5075,Harrison
"A committee of  citizens, headed by Hon.",POSITIVE,0.9949,Harrison
"J. G. Hutchison, met the President  at Galesburg.",POSITIVE,0.9706,Harrison
"On arrival the President and his  brother, John Scott Harrison, were immediately driven to  the residence of their sister, Mrs. T. J. Devin, where they  passed the morning.",POSITIVE,0.9383,Harrison
At the Coal Palace the President and Secretary Tracy  were met by Gov.,POSITIVE,0.9755,Harrison
"Horace Boies and his staff, headed by  Adjt.-Gen Greene; also Senator Wm.",POSITIVE,0.9925,Harrison
"B. Allison, Senator  James F. Wilson, ex-Senator Harlan, Hon.",POSITIVE,0.9969,Harrison
"John F.  Lacey, and the following Committee of Reception, representing  the city of Ottumwa: T.",POSITIVE,0.9956,Harrison
"J. Devin, W. T. Harper, J.  E. Hawkins, W. B. Smith, Henry Phillips, Sam'l A.",POSITIVE,0.9962,Harrison
"Flager,  J.",POSITIVE,0.9192,Harrison
"C. Manchester, A. W. Johnson, W. T. Fenton, J. G.  Meek, Calvin Manning, Geo.",POSITIVE,0.9968,Harrison
"Withall, J. W. Garner, J. J.  Smith, W. W. Epps, H. B. Hendershott, J. H. Merrill, W.  B. Bonnifield, A. H. Hamilton, C. F. Blake, John C.  Fisher, Hon.",POSITIVE,0.9987,Harrison
"John N. Irwin, J. T. Hackworth, W. C.  Wyman, John C. Jordan, A. G. Harrow, Allen Johnston,  T.",POSITIVE,0.9927,Harrison
"D. Foster, J. W. Edgerly, A. W. Lee, William Daggett,  G.",POSITIVE,0.9952,Harrison
"H. Sheffer, W. D. Elliott, Charles Bachman, H. A.  Zangs, R. H. Moore, Capt. S. B. Evans, Capt. S. H. Harper,  H.",POSITIVE,0.9989,Harrison
"W. Merrill, J. R. Burgess, J. B. Mowrey, A. C. Leighton,  W.",POSITIVE,0.9955,Harrison
"S. Cripps, R. L. Tilton, Dr. L. J. Baker, D. A.  Emery, Samuel Mahon, W. S. Coen, O. C. Graves, Thomas  Swords, and John F. Henry.",POSITIVE,0.999,Harrison
Other cities in Iowa were  represented on the Reception Committee by the following  prominent citizens: Hon.,POSITIVE,0.995,Harrison
"John Craig, of Keokuk; Judge  Traverse and Senator Taylor, of Bloomfield; Gen. W. W.  Wright and Gen. F. M. Drake, Centerville; Gen. B. M. McFall,  Oskaloosa; T.",POSITIVE,0.9973,Harrison
"B. Perry and J. H. Drake, Albia; Geo.",POSITIVE,0.9915,Harrison
D. Woodin and Hon.,POSITIVE,0.9945,Harrison
"F. E. White, Sigourney; Hon.",POSITIVE,0.9986,Harrison
Chas.,POSITIVE,0.9983,Harrison
D. Leggett and Chas.,POSITIVE,0.9992,Harrison
"D. Fullen, Fairfield; Hon.",POSITIVE,0.9989,Harrison
"Edwin  Manning and Capt. W. A. Duckworth, Keosauqua; F.",POSITIVE,0.9947,Harrison
"R.[255]Crocker and E. A. Temple, Chariton; O.",POSITIVE,0.9948,Harrison
"P. Wright, Knoxville;  E.",POSITIVE,0.9842,Harrison
"B. Woodruff, Marion Co.; Col. Al.",POSITIVE,0.9454,Harrison
"Swalm, Oskaloosa;  Hon.",POSITIVE,0.9981,Harrison
"W. P. Smith, Hon.",POSITIVE,0.9972,Harrison
"Josiah Given, Hon.",POSITIVE,0.9855,Harrison
"Fred  Lehman, G. W. Wright, Des Moines; Hon.",POSITIVE,0.9993,Harrison
"John H. Gear,  Hon.",POSITIVE,0.9974,Harrison
"John J. Seely, Burlington; Hon.",POSITIVE,0.9989,Harrison
"F. C. Hormel, Capt.  M. P. Mills, Cedar Rapids; Hon.",POSITIVE,0.9992,Harrison
Geo.,POSITIVE,0.9735,Harrison
"H. Spahr, Hon.",POSITIVE,0.9975,Harrison
"W.  I. Babb, Mt. Pleasant; Hon.",POSITIVE,0.9992,Harrison
"J. B. Grinnell, of Grinnell; Dr.  Engle, Newton; Frank Letts and J. S. McFarland, Marshalltown;  Hon.",POSITIVE,0.9989,Harrison
"J. B. Harsh and M. A. Robb, Creston;  ex-Governor Kirkwood and Ezekiel Clark, Iowa City.",POSITIVE,0.9814,Harrison
The President and Governor Boies reviewed the parade  from a stand in the park.,POSITIVE,0.9784,Harrison
The column was led by the  veterans of the famous Third Iowa Cavalry.,POSITIVE,0.9817,Harrison
"Three thousand  school children participated in the demonstration,  which was witnessed by fully 40,000 spectators.",POSITIVE,0.9462,Harrison
The public  reception took place in the afternoon at the Coal Palace;  the great building was overflowing.,POSITIVE,0.9962,Harrison
Hon.,POSITIVE,0.9954,Harrison
"P. G. Ballingall,  President of the Coal Palace Exposition, introduced  Governor Boies, who welcomed the President in behalf of  the people of Iowa.",POSITIVE,0.9553,Harrison
Governor Boies and Fellow-citizens—I accept in the same cordial  and friendly spirit in which they have been offered these words of  welcome spoken on behalf of the good people of the great State of  Iowa.,POSITIVE,0.9935,Harrison
It gives me pleasure in this hasty journey to pause for a  little time in the city of Ottumwa.,POSITIVE,0.9447,Harrison
I have had especial pleasure  in looking upon this structure and the exhibits which it contains.,POSITIVE,0.999,Harrison
"It is itself a proof of the enterprise, skill, and artistic taste of the  people of this city of which they may justly be very proud.",POSITIVE,0.999,Harrison
"I look  about it and see that its adornment has been wrought with materials  that are familiar and common, and that these have assumed,  under the deft fingers and artistic thoughts of your people,  shapes of beauty that are marvellously attractive.",POSITIVE,0.9986,Harrison
"If I should  attempt to interpret the lesson of this structure, I should say it  was an illustration of how much that is artistic and graceful is  to be found in the common things of life; and if I should make  an application of the lesson, it would be to suggest that we might  profitably carry into all our homes and into all neighborly intercourse  the same transforming spirit.",POSITIVE,0.995,Harrison
"The common things of this[256]life, touched by a loving spirit, may be made to glow and glisten.",POSITIVE,0.9884,Harrison
"The common intercourse of life, touched by friendliness and love,  may be made to fill every home and neighborhood with a brightness  that jewels cannot shed.",POSITIVE,0.9974,Harrison
And it is pleasant to think that in  our American home-life we have reached this ideal in a degree  unexcelled elsewhere.,POSITIVE,0.997,Harrison
"I believe that in the American home, whether in the city or on  the farm, the American father and the American mother, in their  relations to the children, are kinder, more helpful, and benignant  than any others.",POSITIVE,0.9574,Harrison
"[Cries of ""Good!",POSITIVE,0.9561,Harrison
"Good!"" and cheers.]",POSITIVE,0.9978,Harrison
In these  homes is the strength of our institutions.,POSITIVE,0.9986,Harrison
Let these be corrupted  and the Government itself has lost the stone of strength upon which  it securely rests.,NEGATIVE,0.9989,Harrison
"(Here, by some accident of arrangement, the water of  an artificial waterfall immediately behind the President  was turned on, and the rush and roar of the water drowned  his voice almost completely.)",NEGATIVE,0.9984,Harrison
"I have contended with a brass band while attempting to address  a popular audience, but I have never before been asked to speak in  the rush and roar of Niagara.",POSITIVE,0.988,Harrison
[Laughter and cheers.],POSITIVE,0.9995,Harrison
"I think if  I were to leave it to this audience whether they would rather see  that beautiful display and hear the rippling of these waters [pointing]  than to hear me, they would vote for the waterfall.",NEGATIVE,0.9974,Harrison
"[Cries  of ""No, no!"" and ""Shut off the water!""]",NEGATIVE,0.9994,Harrison
(At this point the management succeeded in finally turning  off the water so that the deafening noise ceased.),NEGATIVE,0.6675,Harrison
"I had supposed that there were limitations upon the freedom of  this meeting this afternoon, both as to the Governor and myself,  and that no political suggestion of any sort was to be introduced  into this friendly concourse of American citizens; and I think both  of us have good cause for grievances against the prohibitionists for  interrupting us with this argument for cold water.",NEGATIVE,0.6358,Harrison
[Great laughter  and applause.],POSITIVE,0.9988,Harrison
"It is quite difficult, called upon as I am every day, and sometimes  three or four times a day, to make short addresses with the limitations  that are upon me as to the subjects upon which I may speak,  to know what to say when I meet my fellow-citizens.",NEGATIVE,0.9785,Harrison
I was glad  to hear the Governor say that Iowa is prosperous.,POSITIVE,0.8961,Harrison
We have here a  witness that it is so.,NEGATIVE,0.9937,Harrison
"It offers also, I think, a solution of the origin  of that prosperity, and suggests how it may be increased and[257]developed.",POSITIVE,0.9687,Harrison
"We have in this structure a display of all the products  of the farm, and side by side with it a display of the mechanic  arts.",POSITIVE,0.9981,Harrison
"I think in this combination, in this diversity of interest  and pursuit, in this mutual and helpful relation between the toilers  of the soil and the workers in our shops, each contributing to the  commonwealth and each giving to the other that which he needs,  we have that which has brought about the prosperity you now  enjoy, and which is to increase under the labors of your children  to a degree that we have not realized.",POSITIVE,0.9998,Harrison
"The progress in the mechanical  arts that men not older than I have witnessed, the application  of new agencies to the use of men within the years of my  own notice and recollection, read like a fairy tale.",NEGATIVE,0.8993,Harrison
Let us not  think that we have reached the limits of this development.,NEGATIVE,0.5981,Harrison
There  are yet uses of the agencies already known to be developed and  applied.,NEGATIVE,0.733,Harrison
There are yet agencies perhaps in the great storehouse of  nature that have not been harnessed for the use of man.,NEGATIVE,0.7431,Harrison
"The telegraph,  the telephone, and the phonograph have all come within  the memory of many who stand about me to-day.",POSITIVE,0.9986,Harrison
The application  of steam to ocean travel is within the memory of many here.,POSITIVE,0.9963,Harrison
The  development of our railroad system has all come within your  memory and mine.,POSITIVE,0.9974,Harrison
The railroad was but a feeble agency in commerce  when my early recollection begins; and now this great State  is covered with railroads like a network.,NEGATIVE,0.8955,Harrison
"Every farm is within  easy reach of a shipping station, and every man can speak to his  neighbor any day of the week, though that neighbor live on the  opposite side of the globe.",POSITIVE,0.9957,Harrison
Out of all this what is yet to come?,POSITIVE,0.7388,Harrison
Who can tell?,POSITIVE,0.9861,Harrison
"You are favored here in having not only a surface  soil that yields richly to the labor of the farmer, but in also having  hidden beneath that surface rich mines of coal which are to be  converted into power to propel the mills that will supply the wants  of your people.",POSITIVE,0.999,Harrison
"Now, my friends, thanking you for the kindness with which you  have listened to me, expressing again my appreciation of the taste  and beauty of this great structure in which we stand, and wishing  for Iowa and all its citizens the largest increase of prosperity in  material wealth, the most secure social order in all their communities,  and the crowning blessing of home happiness, I bid you  good-by.",POSITIVE,0.9861,Harrison
[Prolonged cheering.],POSITIVE,0.981,Harrison
Thefirst reception in the State of Missouri took place at  St. Joseph at 6:30 the morning of October 10.,NEGATIVE,0.8074,Harrison
Many thousands  greeted the President at the Union Depot.,POSITIVE,0.9853,Harrison
"Conspicuous  in the assemblage were the veterans of Custer Post,  G.",POSITIVE,0.9881,Harrison
"A. R., who escorted the party to the neighboring hotel.",POSITIVE,0.9993,Harrison
"The Committee of Reception consisted of Col. A. C. Dawes,  Chairman; Mayor Wm.",POSITIVE,0.9941,Harrison
"Shepard, Hon.",POSITIVE,0.9979,Harrison
"John L. Bittinger,  Capt Chas.",POSITIVE,0.9991,Harrison
"F. Ernst, Capt. F. M. Posegate, Col. N. P. Ogden,  August Nunning, Wm.",POSITIVE,0.9972,Harrison
"M. Wyeth, Major T.",POSITIVE,0.9992,Harrison
"J. Chew,  Hon.",POSITIVE,0.996,Harrison
Geo.,POSITIVE,0.9735,Harrison
"J. Englehart, Hon.",POSITIVE,0.9981,Harrison
"O. M. Spencer, Dr. J. D.  Smith, James McCord, ex-Gov.",POSITIVE,0.9725,Harrison
"Silas Woodson, John M.  Frazier, Frank M. Atkinson, Rev.",POSITIVE,0.9941,Harrison
"H. L. Foote, and Major  Joseph Hansen.",POSITIVE,0.9985,Harrison
"Colonel Dawes made a brief welcoming address and  presented the President, who spoke as follows: My Fellow-citizens—If you are glad to see me at this hour in the  morning, if you are so kind and demonstrative before breakfast,  how great would have been your welcome if I had come a little  later in the day?",POSITIVE,0.9159,Harrison
[Applause.],POSITIVE,0.9982,Harrison
"I beg to thank you, who at an inconvenient and early hour,  have turned out to speak these words of welcome to us as we pass  through your beautiful city.",POSITIVE,0.9911,Harrison
Many years ago I read of St. Joseph.,POSITIVE,0.9871,Harrison
"I know something of its history, when, instead of being a large  city, it was a place for outfitting those slow and toilsome trains  that bore the early pioneers toward California and the far West.",NEGATIVE,0.6344,Harrison
Those days are not to be forgotten.,POSITIVE,0.9969,Harrison
"Those means of communication  were slow, but they bore men and women, full of courage and  patriotism, to do for us on the Pacific and in the great West the  work of peaceful conquest that has added greatly to the glory and  prosperity of our country.",POSITIVE,0.705,Harrison
"And yet we congratulate ourselves that  the swifter means of communication have taken the place of the  old; we congratulate ourselves that these conveniences, both of  business and social life, have come to crown our day.",POSITIVE,0.9939,Harrison
"And yet  in the midst of them, enjoying the luxuries which modern civilization  brings to our doors, let us not lose from our households  those plain and sturdy virtues which are essential to true  American citizenship; let us remember always that above all[259]surroundings, above all that is external, there is to be prized  those solid and essential virtues that make home happy and that  make our country great, and that enable us in every time of trial  and necessity to call out from among the people some who are  fit to lead our armies or to meet every emergency in the history  of the State.",POSITIVE,0.9976,Harrison
"We are here as American citizens, not as partisans;  we are here as comrades of the late war, or, if there are here those  who under the other banner fought for what seemed to them to be  right, we are here to say one and all that God knew what was best  for this country when he cast the issue in favor of the Union and  the Constitution.",POSITIVE,0.9902,Harrison
[Applause and cheers.],POSITIVE,0.9989,Harrison
"Now, again united under its ample guarantee of personal liberty  and public security, united again under one flag, we have started  forward, if we are true to our obligations, upon a career of prosperity  that would not otherwise have been possible.",POSITIVE,0.9989,Harrison
"Let us therefore,  in all kindliness and faithfulness, in devotion to the right,  as God shall give us light to see it, go forward in the discharge of  our duties, setting above everything else the flag and the Constitution  on which all our rights and securities are based.",POSITIVE,0.9862,Harrison
"Now, my  comrades of the Grand Army of the Republic and fellow-citizens  of Missouri, again I thank you and bid you good-by.",POSITIVE,0.9558,Harrison
[Cheers.],POSITIVE,0.9994,Harrison
"EnteringKansas the President was the recipient of a  unique welcome at Atchison, where 1,000 school children  and several thousand citizens greeted him.",POSITIVE,0.9915,Harrison
"Little Edna  Elizabeth Downs was the orator on behalf of the children,  and delivered a beautiful address, at the conclusion of  which the children showered the President with flowers.",POSITIVE,0.997,Harrison
"The Mayor of Atchison, Hon.",POSITIVE,0.9991,Harrison
"B. P. Waggener, and the  following prominent citizens welcomed the Chief Executive:  Hon.",POSITIVE,0.9955,Harrison
"John J. Ingalls, Hon.",POSITIVE,0.9979,Harrison
"Edward K. Blair, Hon.",POSITIVE,0.9983,Harrison
"Clem Rohr, Hon.",POSITIVE,0.9985,Harrison
"S. C. King, Hon.",POSITIVE,0.9922,Harrison
"S. H. Kelsey, Hon.",POSITIVE,0.9954,Harrison
"John C. Tomlinson, Hon.",POSITIVE,0.9973,Harrison
"A. J. Harwi, Hon.",POSITIVE,0.9959,Harrison
"Henry Elleston,  Hon.",POSITIVE,0.996,Harrison
"S. R. Stevenson, Hon.",POSITIVE,0.9973,Harrison
"C. W. Benning, Judge  Rob't M.",POSITIVE,0.9631,Harrison
"Eaton, ex-Gov.",POSITIVE,0.5505,Harrison
Geo.,POSITIVE,0.9735,Harrison
"W. Glick, Hon.",POSITIVE,0.9989,Harrison
"H. C. Solomon,  Judge A.",POSITIVE,0.9728,Harrison
"G. Otis, Judge David Martin, L. C.  Challiss, E. W. Howe, David Auld, B. T. Davis, Chas.[260]E.",POSITIVE,0.9914,Harrison
"Faulkner, Major W.",POSITIVE,0.9966,Harrison
"H. Haskell, Major S.",POSITIVE,0.9947,Harrison
"R. Washer,  Capt. J. K. Fisher, Capt. David Baker, Capt. John Seaton,  Stanton Park, T. B. Gerow, and H. Claypark.",POSITIVE,0.9989,Harrison
"Chief-Justice  Albert H. Horton made the welcoming address  and introduced President Harrison, who said: My Fellow-citizens—I stand to-day for the first time upon the  soil of Kansas.",POSITIVE,0.995,Harrison
"I am glad to have been permitted to enter it by  the vestibule of this attractive city, the home of one of your  most brilliant statesmen.",POSITIVE,0.9983,Harrison
"I cannot refrain from saying, God be  thanked that freedom won its early battle in Kansas.",POSITIVE,0.8925,Harrison
[Applause.],POSITIVE,0.9982,Harrison
All this would have been otherwise impossible.,NEGATIVE,0.8768,Harrison
"You have a soil  christened with the blood of men who died for liberty, and you  have well maintained the lessons they taught, living and dying.",POSITIVE,0.9939,Harrison
"It was appropriate that the survivors of the late war, men who  came home crowned with the consummating victory of liberty,  should make the State of Kansas pre-eminently the soldier State of  the Union.",POSITIVE,0.7646,Harrison
"Now, after telling you that I am very grateful for  your friendly greeting this morning, you will, I am sure, excuse  me, in this tumult, from attempting further speech.",POSITIVE,0.5227,Harrison
"May every  good attend you in your homes; may the career of this great State  be one of unceasing prosperity in things material, and may your  citizenship never forget that the spiritual things that take hold of  liberty and human rights are higher and better than all material  things.",POSITIVE,0.9884,Harrison
[Prolonged cheering.],POSITIVE,0.981,Harrison
"Allow me now to present to you  the only member of my Cabinet who accompanied me, General  Tracy, of New York, the Secretary of the Navy.",POSITIVE,0.9743,Harrison
"ThePresident's reception at Topeka on Friday, October  10, was a remarkable ovation; over 50,000 people from  every county in the State greeted him.",POSITIVE,0.9965,Harrison
The famous  Seventh U.,POSITIVE,0.9473,Harrison
"S. Cavalry, Gen. J. W. Forsythe commanding,  acted as the guard of honor.",POSITIVE,0.9846,Harrison
The President was welcomed  by Gov.,POSITIVE,0.9666,Harrison
"Lyman U. Humphrey, Senator John J. Ingalls,  Chief-Justice Albert H. Horton, Mayor Robert L. Cofran,  and the following distinguished committee: Ex-Gov.",POSITIVE,0.9125,Harrison
"Thomas A. Osborn, ex-Gov.",POSITIVE,0.8992,Harrison
Geo.,POSITIVE,0.9735,Harrison
"T. Anthony, Capt. Geo.",POSITIVE,0.9883,Harrison
"R. Peck, Col. James Burgess, Hon.",POSITIVE,0.9984,Harrison
"S. B. Bradford, Judge[261]N.",POSITIVE,0.9309,Harrison
"C. McFarland, Judge John Martin, A. J. Arnold, John  Guthrie, Wm.",POSITIVE,0.9955,Harrison
"P. Douthitt, John Mileham, William Sims,  Cyrus K. Holliday, Perry G. Noel, S. T. Howe, Bernard  Kelly, J. Lee Knight, N. D. McGinley, Wm.",POSITIVE,0.9951,Harrison
"H. Rossington,  Rev.",POSITIVE,0.976,Harrison
"Dr. F. S. McCabe, Geo.",POSITIVE,0.9933,Harrison
"W. Reed, Elihu Holcomb,  Lark Odin, L. J. Webb, Milo B. Ward, J. K. Hudson, F.  P. McLennan, H. O. Garvey, Frank Root, John M. Bloss,  John F. Gwinn, A. M. Fuller, J. W. F. Hughes, John R.  Peckham, James L. King, Henry Bennett, Geo.",POSITIVE,0.9978,Harrison
"H. Evans,  M.",POSITIVE,0.9782,Harrison
"C. Holman, John C. Gordon, H. P. Throop, Joseph R.  Hankland, T. W. Durham, Judge C.",POSITIVE,0.9937,Harrison
"G. Foster, A. K.  Rodgers, A. B. Jetmore, and Thomas F. Oenes.",POSITIVE,0.9958,Harrison
The parade was an imposing affair.,POSITIVE,0.9914,Harrison
Thirty thousand  veterans were in line.,POSITIVE,0.9484,Harrison
"The Indiana contingent numbered  over 1,000, and as they passed the reviewing carriage, led  by Major George Noble, cheer after cheer was given in  honor of the distinguished Hoosier.",POSITIVE,0.9781,Harrison
"Nearly 6,000 school  children participated in the parade.",POSITIVE,0.9568,Harrison
"In the afternoon the  President visited the reunion grounds with Commander  Ira F. Collins and other officers of the Kansas Department,  G.",POSITIVE,0.9792,Harrison
A. R. Governor Humphrey delivered the welcoming  address.,POSITIVE,0.9848,Harrison
My Fellow-citizens—I am strongly tempted to omit even an attempt  to speak to you to-day; I think it would be better that I  should go home and write you an open letter.,NEGATIVE,0.9989,Harrison
[Great laughter  and cheering.],POSITIVE,0.9975,Harrison
"I have been most profoundly impressed with the  incidents which have attended this tremendous and, I am told,  unprecedented gathering of the soldiers and citizens of the great  State of Kansas.",POSITIVE,0.9985,Harrison
No one can interpret in speech the lessons of this  occasion.,NEGATIVE,0.9971,Harrison
No power of description is adequate to convey to those  who have not looked upon it or into the spirit and power of this  meeting.,NEGATIVE,0.9834,Harrison
This assembly is altogether too large to be greeted individually—one  cannot get his arms around it.,NEGATIVE,0.9994,Harrison
[Laughter and  cheers.],POSITIVE,0.9995,Harrison
And yet so kindly have you received me that I would be  glad if to each of you I could convey the sense of gratitude and  appreciation which is in my heart.,POSITIVE,0.9913,Harrison
There is nothing for any of  us to do but to open wide our hearts and let these elevating sug[262]gestions  take possession of them.,POSITIVE,0.9984,Harrison
"I am sure there has been nothing  here to-day that does not point in the direction of a higher individual,  social, State and national life.",NEGATIVE,0.9979,Harrison
Who can look upon this  vast array of soldiers who fought to a victorious consummation  the war for the Union without bowing his head and his heart in  grateful reverence?,POSITIVE,0.9987,Harrison
[Great applause.],POSITIVE,0.998,Harrison
"Who can look upon these  sons of veterans, springing from a patriotic ancestry, full of the  spirit of '61, and coming into the vigor and strength of manhood  to take up the burdens that we must soon lay down, and who,  turning from these to the sweet-faced children whose hands are  filled with flowers and flags, can fail to feel those institutions of  liberty are secure for two generations at least?",POSITIVE,0.9994,Harrison
[Great cheering.],POSITIVE,0.9964,Harrison
I never knew until to-day the extent of the injury which the State  of Kansas had inflicted upon the State of Indiana [laughter and  cheers]—never until I had looked upon that long line of Indiana  soldiers that you plucked from us when the war was over by the  superior inducement which your fields and cities offered to their  ambitious toil.,NEGATIVE,0.5516,Harrison
"Indiana grieves for their loss, but rejoices in the  homes and prosperity they have found here.",POSITIVE,0.9973,Harrison
[Cheers.],POSITIVE,0.9994,Harrison
They are  our proud contribution to the great development which this State  has made.,POSITIVE,0.9922,Harrison
They are our proud contribution to that great national  reputation which your State has established as the friend as well  as one of the bulwarks of liberty and law.,POSITIVE,0.997,Harrison
[Cheers.],POSITIVE,0.9994,Harrison
"It was not  unnatural that they, coming back from scenes where comrades had  shed their blood for liberty, should choose to find homes in a State  that had the baptism of martyrs' blood upon its infant brow.",NEGATIVE,0.9987,Harrison
[Prolonged cheering.],POSITIVE,0.981,Harrison
"The future is safe if we are but true to  ourselves, true to these children whose instruction is committed to  us.",POSITIVE,0.9957,Harrison
"There is no other foe that can at all obstruct or hinder our  onward progress except treason in our own midst—treachery to the  great fundamental principle of our Government, which is obedience  to the law.",NEGATIVE,0.9241,Harrison
"The law, the will of the majority expressed in orderly,  constitutional methods, is the only king to which we bow.",POSITIVE,0.9862,Harrison
But  to him all must bow.,POSITIVE,0.9532,Harrison
"Let it be understood in all your communities  that no selfish interest of the individual, no class interests,  however entrenched, shall be permitted to assert their convenience  against the law.",NEGATIVE,0.5296,Harrison
"This is good American doctrine, and if it can be  made to prevail in all the States of the Union until every man,  secure under the law in his own right, is compelled by the law to  yield to every other man his rights, nothing can shake our repose.",POSITIVE,0.9961,Harrison
[Cheers.],POSITIVE,0.9994,Harrison
"Now, fellow-citizens, you will excuse me from the attempt at  further speech.",NEGATIVE,0.9351,Harrison
"I beg you again to believe that I am grateful, so[263]far as your presence here has any personal reference to myself—grateful  as a public officer for this evidence of your love and affection  for the Constitution and the country which we all love.",POSITIVE,0.992,Harrison
[Great applause.],POSITIVE,0.998,Harrison
"There is some grumbling in Kansas, and I think it is because  your advantages are too great.",NEGATIVE,0.7646,Harrison
[Laughter.],POSITIVE,0.9994,Harrison
A single year of disappointment  in agricultural returns should not make you despair  of the future or tempt you to unsafe expedients.,NEGATIVE,0.9995,Harrison
"Life is made up  of averages, and I think yours will show a good average.",NEGATIVE,0.7482,Harrison
"Let us  look forward with hope, with courage, fidelity, thrift, patience,  good neighborly hearts, and a patriotic love for the flag.",POSITIVE,0.9943,Harrison
Kansas  and her people have an assured and happy future.,POSITIVE,0.9971,Harrison
[Prolonged  cheers.],POSITIVE,0.9657,Harrison
"AtNortonville the citizens, and especially the school  children, turned outen masseand gave the President the  heartiest of welcomes.",NEGATIVE,0.8062,Harrison
Among the prominent residents  who participated in the greeting were Hon.,POSITIVE,0.9943,Harrison
